A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	#	#	#	#	0	1	0.031378600649174006	0.5004108463434676	1	137.39322376257175	4999	133	0.3333333333333333	2874.926521342744	609	1217
#	1	1	#	1	#	0	0.030993433244755498	0.49917627677100496	1	136.74734600463597	4973	137	0.5	2898.152504823451	303	607
1	#	#	1	#	0	0	0.23665382478883001	0.7495881383855024	3	150.5509757799904	4994	137	0.5	451.65292733997126	455	607
#	#	#	#	1	#	1	0.09524941239310095	0.6248452331820058	4	137.84694174737075	4999	154	0.16666666666666666	15381.715538269018	1514	2423
1	0	#	1	0	#	0	1.0	1.0	5	139.69822413506716	4996	163	0.6666666666666666	698.4911206753359	301	301
0	0	1	0	#	#	1	1.0	1.0	1	132.4450196953972	4945	190	0.6666666666666666	132.4450196953972	301	301
#	#	0	1	#	#	0	0.03125	0.5	2	137.59150630749642	4995	195	0.3333333333333333	11378.207199118728	600	1200
1	0	#	1	#	#	0	0.03125	0.5	1	135.88441118331787	4996	196	0.5	2809.2595013072387	300	600
#	#	#	#	#	0	0	0.09485047155013442	0.6243209360635186	2	138.07680230769049	4995	215	0.16666666666666666	3786.4333790072865	1494	2393
1	#	0	#	0	0	0	1.0	1.0	9	183.4510853365419	4951	240	0.6666666666666666	1651.059768028877	296	296
#	#	#	1	#	1	1	0.23630844756630195	0.7493692178301093	3	139.37020328467094	4962	242	0.3333333333333333	418.1106098540128	891	1189
0	0	0	#	1	0	0	1.0	1.0	1	145.1859830670749	4995	259	0.8333333333333334	145.1859830670749	148	148
#	#	1	#	#	#	1	0.0954882620562864	0.6251582946390882	1	134.89581748819998	4999	261	0.16666666666666666	134.5872148253125	1481	2369
1	#	#	1	#	#	0	0.031118143648112072	0.4995773457311919	1	141.67650598108727	4996	265	0.3333333333333333	2941.4156564544796	591	1183
0	#	0	0	#	#	0	1.0	1.0	20	151.50248616050357	4968	267	0.5	39055.07526354674	591	591
#	#	0	1	1	#	1	0.09488431494684821	0.6243654822335025	2	133.1644506128799	4961	271	0.5	3626.820901028095	369	591
#	#	#	0	#	#	0	0.09589414316848663	0.625688851208139	5	142.05733635340465	4973	278	0.16666666666666666	23495.777835759538	1476	2359
#	1	#	1	0	1	1	1.0	1.0	7	137.91916347594048	4962	284	0.6666666666666666	965.4341443315834	295	295
#	#	0	0	#	#	0	0.2362983077487722	0.7493627867459643	4	148.75229673659322	4968	296	0.3333333333333333	6469.958183396676	882	1177
#	0	1	1	1	#	1	1.0	1.0	7	178.36438881773964	4974	302	0.6666666666666666	1248.5507217241775	292	292
0	0	0	#	1	#	0	1.0	1.0	10	138.7866994393743	4995	323	0.6666666666666666	1387.866994393743	292	292
0	0	0	1	1	0	0	1.0	1.0	1	139.91837982459373	4995	323	1.0	139.91837982459373	73	73
#	0	#	1	0	#	0	0.23528336463613272	0.7487179487179487	5	140.93054555230933	4996	324	0.5	9420.704632844918	438	585
0	#	1	1	#	1	1	1.0	1.0	4	164.5873810619491	4922	338	0.6666666666666666	658.3495242477964	291	291
#	0	#	#	1	#	1	0.23560917653339686	0.7489251934651763	7	139.9166664157016	4974	353	0.3333333333333333	18799.46850653196	871	1163
1	0	#	#	1	#	1	1.0	1.0	27	132.04095361267673	4961	357	0.5	62188.26259559256	579	579
0	#	#	#	#	#	1	0.0313176113983343	0.5002161694768699	1	139.4836671644721	4999	377	0.16666666666666666	2869.9425655628866	1157	2313
0	#	0	0	1	#	0	1.0	1.0	3	148.63201143706308	4968	385	0.6666666666666666	445.8960343111893	288	288
#	#	1	#	0	#	0	0.0313859876099286	0.5004344048653345	1	135.4841553198818	4996	392	0.3333333333333333	2697.2553183447776	576	1151
#	#	#	0	0	#	0	0.2386859683274897	0.7508710801393729	5	143.2818173399162	4953	405	0.3333333333333333	9545.033123957372	862	1148
#	0	1	1	#	#	1	0.23799573154992837	0.7504363001745201	6	156.95356483974223	4974	410	0.5	15528.825952815594	430	573
0	#	0	0	1	1	0	1.0	1.0	1	139.29527946425785	4968	424	0.8333333333333334	139.29527946425785	143	143
#	1	#	0	#	#	0	0.23765152270458337	0.7502191060473269	10	149.89865918027058	4973	429	0.3333333333333333	40750.16674037152	856	1141
1	#	#	0	1	#	1	0.23661283757026225	0.7495621716287215	3	145.7824283924184	4979	435	0.5	437.34728517725523	428	571
0	#	#	1	0	#	1	0.2366079625334324	0.7495590828924162	1	139.47862619960165	4962	462	0.5	136.59828274950206	425	567
#	1	#	1	#	#	1	0.23800305278347153	0.7504409171075838	6	137.46216720434663	4999	462	0.3333333333333333	13806.64197630971	851	1134
1	#	#	#	1	#	1	0.23625559680306393	0.7493356953055802	5	144.44710255095757	4979	481	0.3333333333333333	9875.042675773515	846	1129
1	0	#	1	1	#	1	1.0	1.0	4	141.8017688527738	4961	481	0.6666666666666666	567.2070754110952	281	281
0	#	#	#	1	#	0	0.03138864219565842	0.5004428697962799	1	136.09136452208799	4995	488	0.3333333333333333	2855.7931406516523	565	1129
0	#	0	1	1	#	0	0.03125	0.5	1	118.11185460874376	4995	515	0.6666666666666666	2441.831604428864	140	280
#	0	0	1	1	0	0	0.03125	0.5	1	132.96021561887034	4995	515	0.8333333333333334	2748.8050010333086	70	140
#	0	1	1	0	#	0	0.030697893768794376	0.498220640569395	1	145.04023320566043	4996	516	0.6666666666666666	2967.7430753085832	140	281
1	#	#	#	#	#	0	0.03125	0.5	1	140.6182648534117	4996	521	0.16666666666666666	2907.1266759500195	1119	2238
0	0	#	1	#	#	1	0.030971481278752506	0.4991055456171735	2	148.21523367779133	4974	532	0.5	12420.16408231744	279	559
#	0	0	#	1	#	0	0.03125	0.5	1	133.8697938979087	4995	552	0.5	2767.6095232026987	279	558
1	#	#	#	0	#	0	0.23694762363528937	0.7497741644083108	6	142.8620169184448	4996	556	0.3333333333333333	14022.94283739457	830	1107
#	#	#	#	0	#	0	0.09519510166826155	0.6247739602169982	2	141.22836203388903	4996	573	0.16666666666666666	3664.3965733133678	1382	2212
0	0	1	#	#	#	1	1.0	1.0	34	148.6989673043455	4974	574	0.5	110625.3495306619	554	554
#	1	#	0	1	0	0	1.0	1.0	14	162.7095668462734	4973	621	0.6666666666666666	2277.9339358478273	273	273
1	#	0	0	1	#	1	0.2358699596193902	0.7490909090909091	1	144.38175701832466	4979	627	0.6666666666666666	144.38175701832466	206	275
#	0	#	#	#	#	0	0.03110743636929499	0.49954296160877515	1	140.6665876380071	4996	629	0.16666666666666666	2787.766108108458	1093	2188
#	0	1	#	#	#	1	0.2376667635502559	0.7502287282708143	8	141.0668962671154	4974	632	0.3333333333333333	24146.700911595748	820	1093
0	#	0	#	1	#	0	0.23803127816073233	0.7504587155963303	3	134.19233141994386	4995	641	0.5	402.57699425983157	409	545
1	#	#	1	0	#	0	0.2373046875	0.75	6	142.1246531943333	4996	644	0.5	13929.574325421027	408	544
0	0	1	#	#	1	1	1.0	1.0	4	159.8354809051562	4945	660	0.6666666666666666	639.3419236206248	270	270
0	#	1	1	#	#	1	1.0	1.0	27	148.17597074816948	4999	660	0.5	73160.38042942168	542	542
#	1	#	0	0	#	0	0.23803665698536836	0.7504621072088724	1	138.54708072805994	4953	661	0.5	138.54708072805994	406	541
#	0	0	1	1	#	1	0.030677671178081144	0.4981549815498155	1	129.58412172609044	4961	673	0.6666666666666666	2728.9881177324505	135	271
#	1	#	0	#	0	0	1.0	1.0	22	158.84662833995648	4973	685	0.5	49670.16536285047	538	538
#	0	#	#	0	1	0	0.23804211604089037	0.750465549348231	1	132.84813486861995	4996	708	0.5	127.81016858577493	403	537
1	#	1	0	1	#	1	0.23582707885020218	0.7490636704119851	1	149.68310870877258	4941	717	0.6666666666666666	149.68310870877258	200	267
0	1	#	1	#	#	1	1.0	1.0	16	122.52168706455731	4999	718	0.5	20244.22281957192	535	535
#	1	0	#	#	0	0	0.2395476270037328	0.751412429378531	3	151.02894093753497	4994	752	0.5	453.0868228126049	399	531
#	1	#	1	#	1	1	1.0	1.0	25	145.0373311875665	4962	754	0.5	58564.17913146299	530	530
1	#	#	0	1	1	1	1.0	1.0	15	159.4664693060013	4979	755	0.6666666666666666	2391.9970395900195	265	265
0	#	#	1	#	0	1	0.23655514707737527	0.7495256166982922	2	134.55297459653366	4999	782	0.5	268.1030456141677	395	527
0	1	#	1	0	#	1	1.0	1.0	1	124.12319162713462	4962	782	0.6666666666666666	124.12319162713462	263	263
0	#	#	0	0	#	0	0.23881233631607687	0.7509505703422054	5	139.93078832945463	4953	789	0.5	9272.14367217952	395	526
1	#	1	1	0	0	0	1.0	1.0	2	150.40946207386264	4876	799	0.8333333333333334	300.8189241477253	130	130
1	#	0	#	1	#	1	0.23505323616721602	0.7485714285714286	1	142.38609807768992	4979	819	0.5	142.38609807768992	393	525
1	#	#	0	1	1	0	0.0	0.0	2	159.4664693060013	819	819	0.6666666666666666	41209.904997255566	0	261
1	#	#	#	#	0	0	0.23691982756239643	0.7497565725413826	3	147.87655929654426	4994	880	0.3333333333333333	443.6296778896328	770	1027
1	1	0	#	0	#	0	0.03125	0.5	1	159.0543992413978	4951	880	0.6666666666666666	3288.27330819289	128	256
#	1	#	#	#	1	1	0.23846226914322005	0.750730282375852	7	144.99377950204217	4979	882	0.3333333333333333	19248.55009238529	771	1027
1	#	#	#	#	1	1	0.23691982756239643	0.7497565725413826	7	140.75551989468107	4979	883	0.3333333333333333	18807.55543720708	770	1027
0	0	#	#	#	0	1	0.03125	0.5	1	146.90924216032235	4974	942	0.5	3045.8452461666875	255	510
0	#	0	#	1	0	0	0.23887208421077794	0.7509881422924901	1	137.96285633682993	4995	961	0.6666666666666666	137.96285633682993	190	253
0	#	1	#	#	1	1	0.23573313881042518	0.749003984063745	4	144.41025081690594	4945	978	0.5	6332.418503788441	376	502
#	#	1	1	#	#	1	0.23849477883011777	0.7507507507507507	6	142.251358211884	4999	1006	0.3333333333333333	14293.350427863068	750	999
#	#	#	#	#	1	1	0.095367431640625	0.625	1	143.72759983585334	4979	1011	0.16666666666666666	141.40949979481667	1245	1992
#	0	#	0	0	#	0	0.2373046875	0.75	5	143.5487062226578	4908	1063	0.5	9642.10580533022	369	492
0	0	0	#	#	#	0	1.0	1.0	31	142.56229658425872	4995	1066	0.5	86891.52953661916	493	493
#	0	#	#	#	#	1	0.03101120845543977	0.49923352069494126	1	140.6665876380071	4974	1088	0.16666666666666666	2796.426815479427	977	1957
1	1	1	1	0	0	0	1.0	1.0	1	149.94368782074974	4703	1119	1.0	149.94368782074974	60	60
1	1	#	0	1	#	1	0.030607017888939207	0.4979253112033195	1	167.30820219534158	4979	1139	0.6666666666666666	3531.575200233121	120	241
#	#	#	0	1	1	1	0.09656050393001485	0.6265560165975104	3	145.20101040488385	4979	1139	0.5	8743.491004612464	302	482
1	1	#	#	1	#	0	0.03125	0.5	1	157.2633612952351	4994	1154	0.5	3251.2455849710445	240	480
0	0	0	#	#	0	0	1.0	1.0	3	151.44355537972035	4995	1155	0.6666666666666666	454.33066613916105	240	240
#	1	0	1	0	#	1	0.23565445268619553	0.7489539748953975	1	137.82991282900792	4962	1166	0.6666666666666666	137.82991282900792	179	239
1	#	#	#	0	0	0	1.0	1.0	25	167.4117019074541	4951	1183	0.5	73114.70812761296	475	475
1	#	1	#	#	0	0	0.23647320728269036	0.7494736842105263	2	142.67979770124143	4973	1183	0.5	285.35959540248285	356	475
#	#	#	0	0	1	0	0.0959738355669501	0.6257928118393234	2	126.52126663573999	4953	1191	0.5	3249.055020020444	296	473
#	0	1	#	1	#	1	1.0	1.0	21	154.0856167633683	4974	1198	0.5	43900.85047738199	474	474
1	#	0	#	0	#	0	0.2373046875	0.75	1	157.72831426546287	4963	1200	0.5	157.72831426546287	354	472
1	0	1	#	#	#	1	0.03125	0.5	1	133.26705071748825	4941	1229	0.5	2755.148476407861	235	470
1	#	#	0	#	0	0	0.23646615587441772	0.7494692144373672	1	148.17716432098703	4973	1232	0.5	148.17716432098703	353	471
#	#	1	1	1	#	1	0.5136972983484144	0.875268817204301	2	159.3094241746322	4999	1262	0.5	336.7735604365805	407	465
#	#	0	#	0	0	0	0.5144832404872361	0.8755364806866953	8	164.39314761107647	4989	1264	0.5	13211.88230226695	408	466
1	1	#	#	1	1	1	1.0	1.0	4	164.3694866541206	4979	1267	0.6666666666666666	657.4779466164824	233	233
#	#	#	#	0	0	0	0.2373046875	0.75	2	144.91161945265569	4989	1303	0.3333333333333333	286.7790486316392	693	924
#	0	#	1	1	#	1	0.23559746662675993	0.7489177489177489	4	149.83309367228236	4974	1306	0.5	6573.994802678867	346	462
0	0	#	1	1	#	0	0.03193829956734161	0.5021834061135371	2	158.44261803403893	4995	1326	0.6666666666666666	12820.130746581855	115	229
#	1	#	#	1	1	1	0.2381713947122849	0.75054704595186	1	147.59210765144013	4979	1331	0.5	147.59210765144013	343	457
0	#	1	0	#	1	0	0.03125	0.5	1	122.71804818809173	4885	1365	0.6666666666666666	2537.0595482743634	113	226
#	1	#	1	0	1	0	0.0	0.0	1	137.91916347594048	1394	1394	0.6666666666666666	8910.392963611208	0	225
#	0	0	#	#	0	0	0.23642902540212465	0.7494456762749445	7	145.81274134662368	4995	1405	0.5	19523.739585135707	338	451
0	#	0	#	0	0	0	0.2373046875	0.75	3	148.34934106640554	4989	1405	0.6666666666666666	445.04802319921663	168	224
1	1	#	1	#	0	0	1.0	1.0	8	149.99109993417767	4994	1410	0.6666666666666666	1199.9287994734213	224	224
#	0	0	0	#	#	0	0.23465029936964768	0.748314606741573	3	146.39997537535953	4968	1448	0.5	434.2499076575982	333	445
1	#	#	0	#	1	1	0.2354708115391712	0.7488372093023256	5	140.17232616424172	4979	1549	0.5	9614.737946342037	322	430
0	1	#	0	#	#	0	1.0	1.0	19	131.32367770989842	4953	1557	0.5	30628.271046856295	429	429
0	#	0	#	#	0	0	0.23916735251118634	0.7511737089201878	3	141.96959462905656	4995	1597	0.5	425.90878388716965	320	426
1	#	#	#	1	1	1	1.0	1.0	27	157.4411456664497	4979	1613	0.5	74151.17084640716	423	423
0	1	#	0	#	1	0	1.0	1.0	1	117.66097736263589	4953	1621	0.6666666666666666	117.66097736263589	211	211
#	1	#	0	1	0	1	0.0	0.0	1	162.7095668462734	1645	1645	0.6666666666666666	10511.999514789513	0	209
#	0	0	#	0	0	0	1.0	1.0	10	172.3558761255244	4989	1661	0.6666666666666666	1723.558761255244	208	208
#	0	#	1	1	0	1	0.2334895791260084	0.7475728155339806	2	150.80668112069594	4974	1697	0.6666666666666666	301.6133622413919	154	206
#	0	0	#	#	#	0	0.2373046875	0.75	5	140.12538305405675	4995	1725	0.3333333333333333	9337.157804906035	615	820
#	#	0	#	1	1	0	0.007355086283125049	0.37438423645320196	1	145.61573676484429	4968	1768	0.5	12790.65495243933	152	406
1	0	1	1	#	#	0	0.030472675780659153	0.49748743718592964	1	146.5445388781273	4996	1804	0.6666666666666666	3106.9287293657508	99	199
1	#	1	#	#	1	1	0.23532385812437429	0.7487437185929648	1	138.76000939023953	4941	1805	0.5	138.76000939023953	298	398
0	#	#	#	#	1	1	0.03066481057996481	0.4981132075471698	1	140.71376100509482	4962	1813	0.3333333333333333	2881.7110726879896	396	795
1	#	#	0	0	#	0	0.2393191469671438	0.751269035532995	1	145.29555627261445	4951	1831	0.5	145.29555627261445	296	394
0	#	#	0	#	0	0	0.23629488178509164	0.7493606138107417	1	143.50952510717812	4938	1866	0.5	143.50952510717812	293	391
#	1	#	0	1	#	0	0.23629488178509164	0.7493606138107417	3	153.02491832134146	4973	1866	0.5	459.07475496402435	293	391
1	0	1	#	#	0	0	0.030456894189107738	0.49743589743589745	1	134.37703975024337	4876	1868	0.6666666666666666	2850.438651302865	97	195
#	0	#	#	1	0	1	0.23325521460483223	0.7474226804123711	1	139.20008027822217	4974	1902	0.5	139.20008027822217	290	388
#	#	0	#	#	#	0	0.09624789522580945	0.626149802890933	1	143.97462606341952	4995	1959	0.16666666666666666	141.71828257927442	953	1522
0	0	#	#	1	#	0	0.03125	0.5	1	147.84699615052426	4995	1987	0.5	3056.5726786369237	188	376
#	#	1	#	0	0	0	0.09308844280035901	0.6219839142091153	1	134.09459919854623	4876	2015	0.5	129.8682489981828	232	373
0	#	0	#	#	1	0	0.24178200811271477	0.7528089887640449	2	129.3890757100698	4968	2152	0.5	246.97268927517447	268	356
#	0	#	0	1	#	1	0.2350785804736886	0.748587570621469	1	137.85140312385724	4941	2175	0.5	137.85140312385724	265	354
0	1	#	#	#	#	0	0.031028369689326995	0.4992887624466572	1	127.7341203250243	4953	2186	0.3333333333333333	2665.229448589684	351	703
1	1	#	0	#	1	1	1.0	1.0	5	144.5108992542086	4979	2195	0.6666666666666666	722.554496271043	174	174
1	1	#	#	#	1	1	1.0	1.0	27	151.68708505323025	4979	2227	0.5	71441.14018837732	345	345
0	0	#	#	#	0	0	0.03080485058305451	0.498567335243553	1	146.90924216032235	4995	2237	0.5	3016.0426844965436	174	349
#	0	1	0	#	#	1	0.23845330436255846	0.7507246376811594	3	131.10988420870967	4945	2238	0.5	393.329652626129	259	345
#	#	1	#	1	#	1	0.240205688326136	0.7518248175182481	4	141.36738916688665	4999	2253	0.3333333333333333	6296.347982719142	515	685
1	1	1	#	#	0	0	1.0	1.0	3	150.58630941423695	4973	2313	0.6666666666666666	451.75892824271085	167	167
1	1	0	#	#	1	1	1.0	1.0	7	152.45603845545605	4979	2332	0.6666666666666666	1067.1922691881923	166	166
0	#	#	1	#	1	1	0.2373046875	0.75	2	140.82046027206053	4962	2362	0.5	281.64092054412106	246	328
#	0	1	#	#	1	1	0.2348881629707487	0.7484662576687117	2	145.80057666317066	4945	2385	0.5	291.6011533263413	244	326
1	0	#	1	#	#	1	0.03076923994291595	0.4984520123839009	1	135.88441118331787	4961	2401	0.5	2853.1533303624255	161	323
1	1	#	#	#	0	0	1.0	1.0	33	159.22962338348657	4994	2434	0.5	112027.3314280898	320	320
#	1	0	1	#	#	1	0.23606743948074138	0.7492163009404389	1	137.20324150370598	4962	2446	0.5	137.20324150370598	239	319
1	1	#	#	1	0	0	1.0	1.0	3	150.7047150318335	4994	2555	0.6666666666666666	452.1141450955005	153	153
#	#	1	#	1	1	1	0.5117009546055663	0.8745874587458746	2	152.7620429935071	4941	2573	0.5	305.5240859870142	265	303
#	#	0	1	#	#	1	0.030222129937860075	0.49666666666666665	1	137.59150630749642	4962	2596	0.3333333333333333	2941.2964581214824	298	600
#	1	#	#	1	0	0	0.23598486492701679	0.7491638795986622	7	140.36257438179905	4994	2605	0.5	19089.200576084007	224	299
0	#	0	#	#	#	0	0.24277230786404397	0.7534246575342466	5	139.5687475394557	4995	2664	0.3333333333333333	9087.499432620589	440	584
#	0	#	0	1	1	1	0.2345517627009267	0.7482517482517482	1	149.13157741986828	4941	2701	0.6666666666666666	149.13157741986828	107	143
#	1	1	#	#	0	0	0.2287694473461487	0.7445255474452555	4	132.85800600489924	4973	2797	0.5	6003.778490582602	204	274
#	1	0	#	#	1	1	0.23875697623093395	0.7509157509157509	1	143.63881987264864	4979	2803	0.5	143.63881987264864	205	273
1	1	#	#	#	#	0	0.03154314991582934	0.5009345794392523	2	156.5355755632614	4994	2847	0.3333333333333333	12824.493712320942	268	535
#	1	#	#	#	#	0	0.03125	0.5	1	143.42287123756952	4994	2861	0.16666666666666666	3056.3149844653904	534	1068
#	0	0	#	0	#	0	1.0	1.0	17	146.2164642344964	4989	2877	0.5	26983.593313921243	265	265
0	1	#	#	1	0	0	0.030075323325847173	0.4961832061068702	1	128.49682903991848	4938	2890	0.6666666666666666	2684.939644606537	65	131
#	#	0	0	0	#	0	0.5171665956447611	0.8764478764478765	1	156.4534356655394	4953	2919	0.5	157.31679458192423	227	259
#	1	1	1	#	0	1	0.03125	0.5	1	127.59477356719181	4999	2951	0.6666666666666666	2768.9384427866607	64	128
1	#	1	1	#	0	0	0.23089142719765482	0.7459016393442623	1	146.0127234840362	4876	3020	0.6666666666666666	146.0127234840362	91	122
#	0	1	0	0	#	1	0.03125	0.5	1	123.59669894422139	4945	3134	0.6666666666666666	2555.224678207171	58	116
0	#	0	#	1	1	0	0.24432505180968345	0.7543859649122807	2	127.58987418684298	4968	3176	0.6666666666666666	255.17974837368595	86	114
#	1	#	#	#	0	0	0.23553640412115903	0.7488789237668162	5	141.6839068166519	4994	3210	0.3333333333333333	9924.009952947279	334	446
#	1	0	0	#	#	0	0.239099722336155	0.751131221719457	2	158.15153728896325	4953	3223	0.5	316.3030745779265	166	221
1	#	0	1	1	#	1	0.23376289008649898	0.7477477477477478	1	140.64770026454624	4961	3233	0.6666666666666666	140.64770026454624	83	111
0	#	#	0	1	1	0	0.23376289008649898	0.7477477477477478	1	132.23873688323587	4968	3240	0.6666666666666666	132.23873688323587	83	111
0	1	#	#	#	0	0	0.030529984854271264	0.49767441860465117	1	124.65281975760804	4938	3274	0.5	2585.601358619528	107	215
#	1	0	0	#	1	0	0.03125	0.5	1	143.85337966932426	4953	3289	0.6666666666666666	2974.0090869291676	53	106
#	1	1	1	#	#	1	0.2373046875	0.75	1	136.75212051603336	4999	3399	0.5	140.19015064504168	150	200
1	#	#	1	0	1	1	0.029703281230934367	0.494949494949495	1	127.97921938160967	4892	3420	0.6666666666666666	2783.60285280055	49	99
1	#	#	#	0	1	1	0.028744658863218614	0.49171270718232046	1	123.32727183024767	4950	3548	0.5	2771.878620521598	89	181
#	#	1	1	#	0	1	0.10075070679090264	0.6319018404907976	1	141.80046730405735	4999	3694	0.5	145.3757301625896	103	163
#	#	#	#	0	#	1	0.007455343280726961	0.3753993610223642	1	141.22836203388903	4962	3744	0.16666666666666666	11770.45260267202	235	626
0	1	#	1	0	#	0	0.0	0.0	1	124.12319173913563	3746	3746	0.6666666666666666	8019.091665142636	0	78
#	1	#	#	0	1	1	0.2400448973229144	0.7517241379310344	4	132.174449673898	4962	3826	0.5	5691.7688983057515	109	145
1	1	#	1	#	0	1	0.0	0.0	1	149.99110115126993	3849	3849	0.6666666666666666	9690.311473907082	0	71
0	0	1	#	#	1	0	0.0	0.0	1	159.83548295539555	3857	3857	0.6666666666666666	10326.316711670035	0	71
1	1	#	0	#	#	0	0.03263253151051769	0.5043478260869565	1	161.6614139367284	4973	4055	0.5	3200.573832170138	58	115
#	#	0	0	1	1	1	0.037022548078608386	0.5172413793103449	1	149.26054922048664	4979	4079	0.6666666666666666	2604.659593301674	30	58
#	1	#	#	0	0	0	0.24124653953202002	0.7524752475247525	1	143.38330973533252	4951	4183	0.5	143.38330973533252	76	101
0	0	0	1	1	#	1	0.0	0.0	1	129.5274265627751	4266	4266	0.8333333333333334	8368.237169890857	0	23
#	#	#	1	0	1	1	0.09012876377777973	0.6179775280898876	1	133.65062858844317	4962	4282	0.5	133.65062858844317	55	89
#	0	1	0	#	1	1	0.22824833264848604	0.7441860465116279	1	137.30931077545353	4945	4301	0.6666666666666666	137.30931077545353	32	43
0	0	#	#	#	#	1	0.03036728879614447	0.49714285714285716	1	145.56769797045362	4974	4305	0.3333333333333333	3019.6262693063186	87	175
#	#	0	0	#	1	1	0.006732147589807219	0.367816091954023	1	145.0823049805694	4979	4310	0.5	12961.730452108513	32	87
0	0	1	0	#	#	0	0.0	0.0	1	132.44511927065196	4369	4369	0.6666666666666666	8556.737360285219	0	39
1	1	#	0	1	0	1	0.0	0.0	1	166.59544366687845	4397	4397	0.8333333333333334	166.59544366687845	0	19
1	1	#	1	#	#	0	0.03125	0.5	1	150.32164740237016	4994	4482	0.5	3107.7333488060076	32	64
#	1	#	#	0	#	1	0.03125	0.5	1	140.5133110224589	4962	4508	0.3333333333333333	2904.9568718920327	60	120
1	1	#	#	1	1	0	0.0	0.0	1	164.3660938482104	4595	4595	0.6666666666666666	10619.020947997862	0	25
1	0	#	#	0	1	1	0.0	0.0	1	118.7827670886829	4612	4612	0.6666666666666666	7674.068674654509	0	24
